ID,biography,birthDate,contactDetails,culturalHeritage,deathDate,ethnicity,familyName,gender,individualName,occupation,sourceRecordLink,title,warning,workCount
KAFPD_P10095,"Executive Producer, ""The Ninja: Immovable Heart"" (2013). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Rafael Primorac,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10108,"Director/Producer/Writer, ""Torn Devotion"" (2013); Producer, ""Sit. Stay. Love."" (2020); Executive Producer, ""The Unlit"" (2020); Producer, ""This Little Love Of Mine"" (2021); Producer, ""The Curious Case Of Dolphin Bay"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Production Book; The Screen Guide.",,,,,,,,Kelly Son Hing,Director; Executive Producer; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10127,"Cinematographer, ""Somewhere In The Darkness"" (1999); Cinematographer, ""Fat Pizza"" (2003); Cinematographer, ""Housos Vs Authority"" (2012); Cinematographer, ""Fat Pizza Vs Housos"" (2014); Cinematographer, ""Dumb Criminals"" (2015). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Kinomatics Camera Department (KCD) Dataset; The Production Book; The Screen Guide.",,,,,,,,Mike Kliem,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10147,"Cinematographer, ""Devil's Gate"" (2003). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Malcolm Mclean,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10148,"Producer, ""Primal"" (2009). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,John Cordukes,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10153,"Production Designer, ""Fat Pizza Vs Housos"" (2014); Production Designer, ""Dumb Criminals"" (2015); Production Designer, ""Unindian"" (2015); Production Designer, ""Moon Rock For Monday"" (2021). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Production Book; The Screen Guide.",,,,,,,,Tylah Pratt,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10180,"Executive Producer, ""The Cup"" (2011); Executive Producer, ""Last Dance"" (2012); Executive Producer/Producer, ""Patrick"" (2013); Executive Producer, ""Turkey Shoot"" (2014). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Peter de Rauch / Peter De Rauch / Peter DeRauch,Executive Producer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10196,"Editor, ""Wasted On The Young"" (2011); Editor, ""Save Your Legs!"" (2013); Editor, ""Otherlife"" (2016). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Leanne Cole,Editor,https://zenodo.org/records/11093655,,,
KAFPD_P10225,"Executive Producer, ""Black River"" (1994). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Paul Humfress,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10232,"Composer, ""Codgers"" (2011); Composer, ""A Night Of Horror: Volume 1"" (2015); Composer, ""Drama"" (2016). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Jonathan Dreyfus,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10253,"Executive Producer/Producer, ""Compo"" (1988). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Joanne Bell,Executive Producer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10261,"Production Designer, ""Rip Tide"" (2017); Production Designer, ""At Last"" (2019). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book; The Screen Guide.",,,,,,,,Jan Edwards,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10263,"Director/Writer, ""Moonlite"" (2011). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Rohan Spong,Director; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10281,"Executive Producer, ""Guts"" (2017). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Jason Evans,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10282,"Cinematographer/Director/Writer, ""The Marriage Of Figaro"" (2009). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Chris Moon,Cinematographer; Director; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10287,"Producer, ""No Escape"" (1993). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Michael R. Joyce,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10291,"Production Designer, ""The Sticks"" (2005). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Danielle Hastie,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10307,"Executive Producer/Producer, ""Bleeding Steel"" (2017). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Jackie Chan,Executive Producer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10310,"Executive Producer, ""Smash"" (2012). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Production Book.",,,,,,,,Lorraine Mae,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10311,"Cinematographer, ""Nirvana Street Murder"" (1991). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Mark Lane,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10312,"Executive Producer, ""Those Dear Departed"" (1987); Executive Producer, ""Flynn"" (1992). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Malcolm Olivestone,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10313,"Executive Producer/Producer, ""Early Winter"" (2016). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Richard Cohen,Executive Producer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10334,"Sound Designer, ""Blinder"" (2013). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book; The Screen Guide.",,,,,,,,Darren Warkentin,Sound Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10335,"Executive Producer, ""Kill Me Three Times"" (2014). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Jed Weintrob,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10362,"Executive Producer, ""Galore"" (2014). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Victoria Treole,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10379,"Costume Designer, ""The Ninth Order"" (2021). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Livonne Larkins,Costume Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10382,"Producer, ""The Lovers"" (2013). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Paul Breuls,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10386,"Writer, ""I Am Woman"" (2020). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Emma Jensen,Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10404,"Executive Producer/Producer, ""Great Expectations: The Untold Story"" (1986). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Kinomatics Camera Department (KCD) Dataset.",,,,,,,,Ray Alchin,Executive Producer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10405,"Production Designer, ""Ladykiller"" (1994); Production Designer, ""My Blessings"" (1997). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Danica D.B.,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10423,"Producer/Writer, ""Men's Group"" (2008); Executive Producer, ""Me And My Mates Vs The Zombie Apocalypse"" (2015). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,John L. Simpson,Executive Producer; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10432,"Production Designer, ""Redball"" (1999); Production Designer, ""Run Rabbit Run"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Vanessa Cerne,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10439,"Director, ""City Loop"" (1999); Director/Producer/Writer, ""Lou"" (2010). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Belinda Chayko,Director; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10477,"Production Designer, ""The Great Gatsby"" (2013); Production Designer, ""Felony"" (2014); Production Designer, ""True History Of The Kelly Gang"" (2020); Production Designer, ""Elvis"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book; The Screen Guide.",,,,,,,,Karen Murphy,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10481,"Writer, ""Crawlspace"" (2011); Producer, ""36 Questions"" (2018). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Production Book; The Screen Guide.",,,,,,,,Adam Patrick Foster,Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10485,"Director/Executive Producer, ""Envy"" (2001). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Production Book.",,,,,,,,Julie Money,Director; Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10508,"Sound Designer, ""Circle Of Lies"" (2011); Sound Designer, ""Wasted On The Young"" (2011); Composer/Sound Designer, ""The Infinite Man"" (2014); Composer, ""Otherlife"" (2016); Composer, ""Upgrade"" (2018); Composer, ""Animals"" (2019). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book; The Screen Guide.",,,,,,,,Jed Palmer,Composer; Sound Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10522,"Producer, ""The Proposition"" (2005). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Production Book; The Screen Guide.",,,,,,,,Cat Villiers,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10553,"Producer, ""A Night Of Horror: Volume 1"" (2015). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Emma Crethary,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10571,"Editor/Producer, ""Iced Lolly"" (2003). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Jason Munn,Editor; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10577,"Production Designer, ""The Pretend One"" (2017); Production Designer, ""Buoyancy"" (2019); Production Designer, ""Pimped"" (2019); Production Designer, ""Lone Wolf"" (2021); Production Designer, ""You Won't Be Alone"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Bethany Ryan,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10582,"Editor, ""Hail"" (2012); Editor, ""The Rover"" (2014); Editor, ""The King"" (2019); Editor, ""The Power Of The Dog"" (2021). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book; The Screen Guide.",,,,,,,,Peter Sciberras,Editor,https://zenodo.org/records/11093655,,,
KAFPD_P10606,"Cinematographer, ""Mr Pumpkin's Big Night Out"" (1998). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Grant Markert,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10608,"Composer, ""Bootleg"" (1985). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Stephen Cronin,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10610,"Producer, ""Skin Deep"" (2014); Director/Executive Producer, ""Romance On The Menu"" (2021). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Rosie Lourde,Director; Executive Producer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10611,"Director, ""Black Site"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Sophia Banks,Director,https://zenodo.org/records/11093655,,,
KAFPD_P10615,"Executive Producer, ""Fatty Finn"" (1980); Producer, ""Ginger Meggs"" (1982); Producer, ""Phar Lap"" (1983); Producer, ""Burke & Wills"" (1985); Producer/Writer, ""Minnamurra"" (1989); Producer, ""Crimebroker"" (1993); Producer, ""The Seventh Floor"" (1994); Producer, ""Back Of Beyond"" (1995); Producer, ""Blackwater Trail"" (1995). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,John Sexton,Executive Producer; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10617,"Executive Producer, ""Pulse"" (2019). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book; The Screen Guide.",,,,,,,,Annie Murtagh-Monks,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10618,"Production Designer, ""Floating Life"" (1996). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Chung-Man Yee,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10635,"Producer, ""Little Deaths"" (2006). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Jonathan Finney,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10636,"Executive Producer, ""Dalkeith"" (2001). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Ruvi Herzov,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10641,"Editor, ""Opal Dream"" (2006). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Jim Clark,Editor,https://zenodo.org/records/11093655,,,
KAFPD_P10647,"Composer, ""Iron Sky"" (2012). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Ben Watkins,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10655,"Producer, ""The Man From Hong Kong"" (1975); Director/Executive Producer/Writer, ""Choir Girl"" (2019). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,John Fraser,Director; Executive Producer; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10672,"Writer, ""Fovou Tous Ellines..."" (2002). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); Kinomatics Camera Department (KCD) Dataset; The Screen Guide.",,,,,,,,Tom Galbraith,Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10673,"Composer, ""Sugar Cube"" (2018). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Ben Coe,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10675,"Composer/Writer, ""Ghosts... Of The Civil Dead"" (1989); Composer, ""To Have And To Hold"" (1996); Composer/Writer, ""The Proposition"" (2005). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Nick Cave,Composer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10678,"Executive Producer, ""The Merger"" (2018); Executive Producer, ""Locusts"" (2019). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Dov Kornits,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10683,"Director, ""Race The Sun"" (1996). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Charles T. Kanganis,Director,https://zenodo.org/records/11093655,,,
KAFPD_P10696,"Writer, ""The Finished People"" (2003). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Rodney Anderson,Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10721,"Composer, ""Almost"" (2007). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Joe Burnham,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10729,"Composer, ""Thunderstruck"" (2004); Composer, ""Under The Radar"" (2004); Composer, ""Wolf Creek"" (2005); Composer, ""Rogue"" (2007); Composer, ""The Square"" (2008); Composer, ""Wolf Creek 2"" (2014); Composer, ""Judy & Punch"" (2019). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,François Tétaz / François Tataz / Francois Tetaz,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10731,"Composer, ""Eraser Children"" (2009). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Wojciech Golczewski,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10740,"Sound Designer, ""Pacific Rim: Uprising"" (2018). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Brandon Jones,Sound Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10741,"Costume Designer, ""You Won't Be Alone"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Sladjana Peric-Santrac,Costume Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10770,"Cinematographer, ""Cop’s Enemy"" (2017). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Young Martin,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10771,"Executive Producer/Producer, ""Love & Love Only"" (2015). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Esh Julian,Executive Producer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10774,"Director/Editor/Producer/Writer, ""Undead"" (2003); Director/Writer, ""Daybreakers"" (2010); Director/Producer/Writer, ""Predestination"" (2014); Director/Writer, ""Winchester"" (2018). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Michael Spierig / The Spierig Brothers,Director; Editor; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10776,"Producer, ""Jammin’ In The Middle E"" (2005). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Kinomatics Camera Department (KCD) Dataset; The Production Book; The Screen Guide.",,,,,,,,Cinzia Guaraldi,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10787,"Production Designer, ""The Devil's Playground"" (1976). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Trevor Ling,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10795,"Executive Producer, ""Dead Europe"" (2012). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Lilette Botasi,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10798,"Composer, ""Future Schlock"" (1984). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,John McCubbery,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10809,"Cinematographer, ""Smash"" (2012). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Matthew Early,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10830,"Cinematographer, ""Melodrama / Random / Melbourne!"" (2018). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Matt Quattro,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10841,"Composer, ""Mikey's Extreme Romance"" (2010). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Brian Daly,Composer,https://zenodo.org/records/11093655,,,
KAFPD_P10843,"Sound Designer, ""Crime & Punishment"" (2016). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Ant Bohun,Sound Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10869,"Composer, ""Jenny Kissed Me"" (1986); Composer/Producer, ""Cassandra"" (1987); Composer, ""Slate, Wyn & Me"" (1987); Composer, ""Mull"" (1989). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Production Book.",,,,,,,,Trevor Lucas,Composer; Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10884,"Cinematographer/Director/Editor/Producer/Writer, ""One Punch"" (2022). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Darcy Yuille,Cinematographer; Director; Editor; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10886,"Executive Producer, ""Ricky! The Movie"" (2011). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Trevor Upton,Executive Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10894,"Production Designer, ""Ascendant"" (2021). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Fiona Donovan,Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10896,"Producer, ""Wishbone"" (2010). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,John Hutchens,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10905,"Cinematographer, ""I.c.u."" (2009); Cinematographer, ""The Dark Lurking"" (2010); Cinematographer/Producer/Writer, ""The Hunters' Club"" (2016). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Dirk Foulger,Cinematographer; Producer; Writer,https://zenodo.org/records/11093655,,,
KAFPD_P10913,"Production Designer, ""Almost"" (2007); Costume Designer, ""Red Christmas"" (2016). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,Kate Shanahan,Costume Designer; Production Designer,https://zenodo.org/records/11093655,,,
KAFPD_P10915,"Editor, ""Devil's Gate"" (2003). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb); The Screen Guide.",,,,,,,,Chris Joyce,Editor,https://zenodo.org/records/11093655,,,
KAFPD_P10925,"Cinematographer, ""William Kelly's War"" (2014); Cinematographer, ""The Playbook"" (2015); Cinematographer, ""Aiyai: Wrathful Soul"" (2020); Cinematographer, ""Black Water: Abyss"" (2020). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Internet Move Database (IMDb).",,,,,,,,Damien Beebe,Cinematographer,https://zenodo.org/records/11093655,,,
KAFPD_P10934,"Producer, ""Beneath Hill 60"" (2010). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: Kinomatics Camera Department (KCD) Dataset; The Screen Guide.",,,,,,,,Bill Leimbach,Producer,https://zenodo.org/records/11093655,,,
KAFPD_P10953,"Editor, ""The Big Night Out"" (1999). This record is part of the Kinomatics Australian Film Production Dataset, see View Original record link for more details. Source: The Screen Guide.",,,,,,,,David Chai,Editor,https://zenodo.org/records/11093655,,,
